case_id,p0,p1,Y,Y_hat
C3L-03639,0.7214482142857143,0.27855178571428574,0,0
C3N-03665,0.8845583333333332,0.11544166666666669,0,0
C3L-04495,0.8734249999999999,0.12657499999999997,0,0
C3L-01051,0.6141755952380953,0.3858244047619047,1,0
C3N-01716,0.8391226190476189,0.16087738095238097,0,0
C3L-03632,0.8852178571428571,0.11478214285714286,0,0
C3L-01687,0.9237119047619048,0.07628809523809525,1,0
C3N-02573,0.8164077380952379,0.18359226190476194,0,0
C3N-03173,0.7877821428571429,0.21221785714285715,0,0
C3N-03173,0.8773571428571427,0.12264285714285716,0,0
C3N-02589,0.8734886904761904,0.1265113095238095,0,0
C3N-03754,0.7343035714285715,0.26569642857142856,1,0
C3L-02606,0.8659994047619047,0.13400059523809524,1,0
C3N-00512,0.8806690476190475,0.1193309523809524,1,0
C3L-02109,0.7761595238095238,0.2238404761904762,0,0
C3N-01381,0.6616555555555556,0.33834444444444445,1,0
C3N-01012,0.6823654761904763,0.3176345238095238,1,0
C3N-03086,0.9121666666666666,0.08783333333333335,0,0
C3L-04479,0.8739674603174603,0.1260325396825397,0,0
C3L-01031,0.7362083333333334,0.26379166666666665,0,0
C3L-01662,0.692125,0.307875,0,0
C3N-00516,0.6794565476190476,0.3205434523809524,0,0
C3N-04119,0.7626791666666668,0.23732083333333334,1,0
C3N-03670,0.8482857142857142,0.15171428571428575,0,0
C3L-00189,0.872784523809524,0.12721547619047618,0,0
C3L-00102,0.83415,0.16585,1,0
C3N-03211,0.892872619047619,0.10712738095238095,0,0
C3N-02590,0.8784154761904762,0.12158452380952381,0,0
C3N-00436,0.891525,0.10847500000000002,0,0
C3L-02809,0.9488833333333334,0.051116666666666664,0,0
C3N-01375,0.6753083333333334,0.3246916666666667,0,0
C3L-04475,0.832504761904762,0.16749523809523809,0,0
C3L-02613,0.6730660714285714,0.3269339285714286,0,0
C3N-03440,0.8653124999999999,0.13468750000000002,0,0
C3N-02579,0.7072107142857142,0.2927892857142857,1,0
C3L-02112,0.8912761904761906,0.10872380952380953,1,0
C3L-02112,0.8083869047619048,0.19161309523809522,1,0
C3L-04027,0.7495321428571428,0.25046785714285713,0,0
C3L-04027,0.8733305555555557,0.12666944444444447,0,0
C3L-00401,0.8836928571428571,0.11630714285714286,0,0
C3N-02592,0.6300755952380953,0.3699244047619048,0,0
C3N-02971,0.8655222222222223,0.13447777777777778,0,0
C3L-00102,0.8395333333333334,0.16046666666666667,1,0
C3N-01167,0.6642041666666667,0.33579583333333335,0,0
C3N-03007,0.7097172619047619,0.2902827380952381,1,0
C3L-03743,0.7440654761904762,0.2559345238095238,0,0
C3N-02997,0.6409662698412698,0.3590337301587302,1,0
C3N-03190,0.6356892857142857,0.36431071428571427,0,0
C3L-00599,0.8682166666666667,0.1317833333333333,0,0
C3N-01165,0.7806583333333335,0.21934166666666663,0,0
C3L-04473,0.8995380952380951,0.10046190476190475,0,0
C3L-02809,0.6838952380952381,0.3161047619047619,0,0
C3L-00017,0.7702452380952381,0.2297547619047619,0,0
C3L-00017,0.8718769841269841,0.12812301587301586,0,0
C3N-03853,0.8159791666666667,0.18402083333333336,0,0
C3N-01714,0.8027416666666667,0.1972583333333333,0,0
C3L-03388,0.7773130952380953,0.22268690476190475,0,0
C3L-00598,0.6078136904761905,0.3921863095238095,0,0
C3N-01011,0.7881386904761905,0.2118613095238095,0,0
C3N-01011,0.7329440476190476,0.2670559523809524,0,0
C3N-02585,0.7127726190476191,0.28722738095238093,1,0
C3L-03356,0.8541583333333334,0.14584166666666665,0,0
C3N-02295,0.9638833333333332,0.036116666666666665,0,0
C3L-02613,0.8778595238095239,0.12214047619047619,0,0
C3N-00518,0.8425166666666668,0.15748333333333334,0,0
C3N-00518,0.9355041666666667,0.06449583333333334,0,0
C3N-01715,0.7063107142857141,0.2936892857142857,0,0
C3N-03440,0.8740470238095236,0.12595297619047618,0,0
C3N-01380,0.8511869047619047,0.14881309523809527,0,0
C3L-04848,0.8697809523809523,0.13021904761904762,1,0
C3N-04282,0.679601388888889,0.3203986111111111,0,0
C3L-03628,0.9316416666666667,0.06835833333333334,0,0
C3N-00302,0.7888547619047619,0.21114523809523805,0,0
C3N-00513,0.699054761904762,0.3009452380952381,0,0
C3L-04475,0.8983178571428573,0.10168214285714286,0,0
C3L-03743,0.9053234126984128,0.09467658730158732,0,0
C3L-01052,0.8912005952380951,0.10879940476190478,0,0
C3N-00436,0.8327583333333333,0.16724166666666668,0,0
C3N-01897,0.6331156746031746,0.36688432539682536,0,0
C3N-03780,0.888229761904762,0.11177023809523809,0,0
C3N-03780,0.9650499999999997,0.034949999999999995,0,0
C3L-02116,0.8619702380952381,0.1380297619047619,0,0
C3N-00303,0.7951952380952381,0.20480476190476188,0,0
C3N-03884,0.8447238095238095,0.15527619047619048,0,0
C3N-00957,0.8387916666666667,0.16120833333333334,0,0
C3L-00589,0.8374392857142856,0.1625607142857143,0,0
C3L-00625,0.8021035714285716,0.19789642857142858,0,0
C3N-03439,0.7798642857142857,0.22013571428571427,0,0
C3N-00514,0.7769357142857143,0.22306428571428571,0,0
C3N-02998,0.8614698412698413,0.13853015873015873,0,0
C3N-01997,0.6844023809523808,0.315597619047619,0,0
C3N-03430,0.8345130952380952,0.16548690476190472,0,0
C3N-04126,0.8678416666666665,0.13215833333333332,0,0
C3N-02940,0.7626922619047619,0.2373077380952381,0,0
C3L-01124,0.8593,0.1407,0,0
C3L-00589,0.7955821428571428,0.20441785714285715,0,0
